difficulty, workers, result, time
1,3,2863311533,34.112170696258545
4,13,1321528458,31.617003202438354
30,18,3414715023,724.5905153751373
20,9,1027827,43.16900181770325
15,2,2386443935,1.954784631729126
10,3,2863312307,31.67862844467163
3,12,2863311529,34.357598543167114
20,15,859135204,35.40840411186218
28,19,2578596442,11.474276304244995
18,15,2290693065,37.00468897819519
28,4,3150208176,3.199789524078369
4,12,3221225510,31.12309956550598
12,11,3123613510,34.41004920005798
22,7,3681541187,32.866557121276855
11,6,694,35.699432611465454
19,20,1431655955,13.814705848693848
24,3,30074393,353.1594557762146
2,5,3435973840,34.304489850997925
24,2,2178998012,365.7417526245117
8,5,330,35.24911069869995
6,7,1227133517,28.57943296432495
15,7,89253,30.584246158599854
23,5,2578596442,54.848982095718384
20,13,991639423,37.67236614227295
3,11,660863894,6.824341058731079
12,3,2670,37.98018431663513
23,5,2578596442,54.55256962776184
8,15,1717987020,30.384602546691895
7,1,311,31.87083077430725
11,2,694,38.019519090652466
3,17,505290273,30.385238885879517
5,5,1717986934,32.01684880256653
25,7,2462536703,150.33895349502563
28,9,3696968562,6.101556301116943
1,5,0,28.488799333572388
30,6,2475683680,3066.856693983078
5,11,54,33.967872858047485
17,13,991169030,32.564834117889404
23,18,239707636,50.150840759277344
12,1,2864161208,1.7692232131958008
14,4,1073778011,38.4209201335907
10,19,1130258002,31.470890045166016
28,17,2276240132,68.64969491958618
3,16,268435468,30.016762495040894
8,17,330,29.825472831726074
3,11,2733161010,37.29056239128113
30,17,346714796,1040.888431072235
1,3,1431655766,38.32262444496155
22,15,286460006,29.641475439071655
25,6,1027827,3.9718575477600098
20,5,859135204,48.2015106678009
12,18,2578596442,11.669445276260376
5,18,238609308,32.075167417526245
22,14,614289831,40.97014760971069
5,9,1027827,5.648390054702759
21,9,2386828422,39.34884834289551
26,4,1910178379,3.181964635848999
28,2,43983181,518.3211762905121
28,7,2475683680,380.2025363445282
1,14,0,35.39810585975647
28,2,43983181,504.4506242275238
3,5,858993464,39.273507833480835
21,4,1027827,46.378984451293945
9,10,3224374145,6.890160322189331
10,4,694,34.31136155128479
26,3,30074393,316.55413818359375
27,18,1914776891,115.97574996948242
12,6,486213409,4.24894642829895
4,16,268435468,32.22627830505371
1,10,1288490190,30.947332620620728
23,4,1078895221,86.77730083465576
26,18,1914776891,105.14789700508118
6,14,2395185019,8.365951538085938
30,16,2475683680,715.8876614570618
13,14,920368151,30.08617091178894
2,11,1171354722,36.66697669029236
26,8,1080931621,115.76272249221802
23,10,430550990,50.3152289390564
23,14,2578596442,8.79220175743103
27,6,30074393,348.14401507377625
1,18,238609294,35.34674859046936
26,4,1080931621,105.57054138183594
1,7,1227133513,32.306313276290894
2,6,0,32.20202994346619
23,16,2416850156,56.48258709907532
12,14,1881937917,8.374780893325806
27,5,30074393,364.9744529724121
17,9,137342,31.834075212478638
11,4,694,33.07699394226074
10,3,694,35.28058624267578
21,6,2864161208,38.79954123497009
21,2,716489327,2.1326475143432617
24,19,226180778,32.87348651885986
13,12,2863315014,31.427513122558594
9,4,3221225838,36.21421432495117
24,20,2578596442,62.361788749694824
24,6,3010561741,3.9119367599487305
6,17,1768515981,33.35450029373169
9,10,429496772,30.57768440246582
22,10,429642288,33.99103307723999
25,1,30074393,319.51122641563416
25,10,1294196226,91.50419068336487
21,5,859135204,33.915966749191284
30,15,1027827,10.261990547180176
6,7,613566766,27.800602674484253
18,15,137342,30.979612588882446
24,15,574062209,58.02886652946472
24,5,289498522,4.30919623374939
27,12,1080931621,109.11289596557617
30,19,3414715023,287.2662036418915
28,17,2276240132,72.20737934112549
4,9,477218598,31.658315181732178
26,11,2348240329,89.6112015247345
12,3,1179836291,2.5520195960998535
21,20,859135204,33.7158727645874
14,3,215322165,2.390934467315674
22,2,1027827,62.937705516815186
12,10,858997016,30.04028010368347
15,3,1431667161,28.505911111831665
4,15,572662315,31.16013240814209
17,14,306805046,35.36599159240723
9,18,1670265206,30.979967832565308
28,7,2475683680,239.00927686691284
22,3,2864161208,39.04718899726868
22,12,1027827,7.8841400146484375
20,8,3221415576,33.264965534210205
24,12,3579807234,46.52012085914612
4,12,361048036,7.652337074279785
16,12,133050,33.7976815700531
20,2,2147573155,28.569968461990356
12,7,1227136754,31.15259885787964
8,4,330,30.341703414916992
14,3,2863325589,37.64811635017395
18,14,613617829,35.270753383636475
25,13,1841161525,8.413581848144531
17,4,1073810554,33.03310561180115
14,17,3789685223,32.208585023880005
12,7,2670,28.423004865646362
4,3,1840702118,2.546497344970703
13,4,1073744941,26.0893394947052
30,20,2475683680,1122.8900203704834
8,9,330,37.2207396030426
30,14,2475683680,244.72534704208374
19,1,1027827,48.37409162521362
30,2,2475683680,3122.0646715164185
6,11,1171354744,31.643605947494507
6,15,2863311565,32.92003917694092
5,9,477218598,30.13508367538452
23,2,2158365672,139.41002488136292
1,3,11554918,2.843411684036255
14,17,252681035,30.262070655822754
12,13,2643057073,30.110647201538086
7,8,311,33.95788240432739
28,17,2276240132,86.02223205566406
